task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	cf/797647	78550	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32G0R1D3)	COMPLETED	0	2023-04-22 23:17:31.513	3m 55s	2m 23s	99.6%	10.8 MB	15.2 MB	6.7 GB	132.9 MB
30	db/a6e2a2	78552	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT701R4D4)	COMPLETED	0	2023-04-22 23:17:31.866	4m 39s	1m 57s	99.6%	10.4 MB	14.8 MB	5.1 GB	114 MB
31	42/57a7c7	78551	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT70R1D3)	COMPLETED	0	2023-04-22 23:17:31.669	4m 49s	2m 22s	99.3%	10.6 MB	14.9 MB	6.4 GB	137.1 MB
14	1c/9aaf2b	78554	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (3270R4D3)	COMPLETED	0	2023-04-22 23:17:32.265	6m 19s	1m 40s	98.4%	9.7 MB	14.1 MB	3.9 GB	110.3 MB
25	1c/021872	78553	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT7005R3D4)	COMPLETED	0	2023-04-22 23:17:32.157	6m 44s	2m 47s	98.6%	11.4 MB	15.8 MB	8.2 GB	141.1 MB
27	eb/9134dc	78555	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT7005R4D4)	COMPLETED	0	2023-04-22 23:17:32.471	6m 44s	1m 55s	99.0%	9.8 MB	14.2 MB	4.8 GB	126.4 MB
22	49/3bb950	78556	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT7005R1D3)	COMPLETED	0	2023-04-22 23:17:32.668	8m 33s	2m 11s	99.5%	10.2 MB	14.6 MB	5.8 GB	136.3 MB
13	b2/2c0e5e	78557	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (3270R3D4)	COMPLETED	0	2023-04-22 23:17:32.867	8m 43s	1m 58s	99.7%	10.4 MB	14.8 MB	5.2 GB	114.1 MB
32	2a/635296	78558	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT70R1D4)	COMPLETED	0	2023-04-22 23:17:33.066	8m 58s	2m 13s	99.7%	10.5 MB	14.9 MB	6 GB	132.3 MB
35	0b/68ffc4	78559	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT70R4D3)	COMPLETED	0	2023-04-22 23:17:33.265	10m 13s	1m 39s	99.6%	9.8 MB	14.2 MB	4 GB	109.1 MB
20	f3/209e70	78561	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32G0R4D3)	COMPLETED	0	2023-04-22 23:17:33.668	11m 12s	2m 11s	99.6%	10.2 MB	14.6 MB	5.8 GB	136.2 MB
18	4e/1abda3	78560	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32G0R3D3)	COMPLETED	0	2023-04-22 23:17:33.467	11m 18s	2m 34s	99.7%	11.1 MB	15.4 MB	7.4 GB	139.5 MB
37	6a/ae6be5	78562	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WTG0R1D3)	COMPLETED	0	2023-04-22 23:17:33.866	12m 42s	2m 30s	99.8%	10.9 MB	15.2 MB	7.1 GB	140.3 MB
12	10/0a1c6a	78563	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (3270R3D3)	COMPLETED	0	2023-04-22 23:17:34.068	13m 7s	1m 56s	99.6%	10.2 MB	14.5 MB	5 GB	119.5 MB
28	f2/04d4f0	78564	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT701R1D4)	COMPLETED	0	2023-04-22 23:17:34.269	13m 42s	2m 28s	97.5%	11 MB	15.4 MB	6.9 GB	129.5 MB
41	2f/6f87e7	78565	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WTG0R4D3)	COMPLETED	0	2023-04-22 23:17:34.476	15m 7s	2m 15s	98.5%	10.3 MB	14.6 MB	6 GB	137.7 MB
21	54/0eff6a	78566	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32G0R4D4)	COMPLETED	0	2023-04-22 23:17:34.729	15m 11s	2m 1s	99.3%	10 MB	14.3 MB	5.1 GB	131.4 MB
8	5f/bb98c5	78567	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32701R3D4)	COMPLETED	0	2023-04-22 23:17:34.867	15m 56s	2m 11s	99.7%	10.1 MB	14.5 MB	5.7 GB	139.6 MB
29	45/a8d10b	78568	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT701R3D4)	COMPLETED	0	2023-04-22 23:17:35.067	17m 16s	2m 9s	99.4%	10.1 MB	14.5 MB	5.6 GB	137.9 MB
10	8b/ccbed9	78569	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (3270R1D3)	COMPLETED	0	2023-04-22 23:17:36.269	17m 25s	2m 15s	99.1%	10.6 MB	15 MB	6 GB	127.2 MB
7	20/ee7d53	78570	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32701R1D4)	COMPLETED	0	2023-04-22 23:17:36.470	18m 45s	2m 50s	99.8%	11.8 MB	16.2 MB	8.6 GB	135.7 MB
40	aa/0f63e1	78573	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WTG0R3D4)	COMPLETED	0	2023-04-22 23:19:01.157	18m 25s	2m 27s	99.6%	10.9 MB	15.2 MB	7 GB	135.9 MB
17	f5/234ed9	78574	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32G0R1D4)	COMPLETED	0	2023-04-22 23:20:02.414	17m 29s	1m 11s	99.3%	9.1 MB	13.5 MB	2.5 GB	89.7 MB
34	89/5a7e77	78572	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT70R3D4)	COMPLETED	0	2023-04-22 23:18:56.281	18m 40s	2m 47s	99.0%	12.2 MB	16.6 MB	8.4 GB	123.7 MB
23	6e/756830	78577	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT7005R1D4)	COMPLETED	0	2023-04-22 23:22:11.207	17m 40s	2m 15s	99.1%	11.7 MB	16.1 MB	6.4 GB	105.1 MB
19	88/377172	78576	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (32G0R3D4)	COMPLETED	0	2023-04-22 23:21:26.209	18m 30s	2m 24s	99.5%	10.6 MB	15 MB	6.7 GB	139.1 MB
24	82/1e88c2	78575	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT7005R3D3)	COMPLETED	0	2023-04-22 23:20:03.368	20m 13s	2m 47s	99.3%	11.5 MB	15.9 MB	8.3 GB	140.1 MB
38	97/2ad882	78578	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WTG0R1D4)	COMPLETED	0	2023-04-22 23:22:21.207	19m 50s	2m 17s	99.4%	10.4 MB	14.8 MB	6.2 GB	137.2 MB
33	b6/80e5ed	78580	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT70R3D3)	COMPLETED	0	2023-04-22 23:23:51.149	18m 30s	2m 20s	99.7%	10.6 MB	15 MB	6.4 GB	135.6 MB
39	8b/af8be5	78581	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WTG0R3D3)	COMPLETED	0	2023-04-22 23:24:16.154	18m 45s	2m 40s	99.5%	11.4 MB	15.7 MB	7.9 GB	138 MB
15	e0/8572ea	78584	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (3270R4D4)	COMPLETED	0	2023-04-22 23:26:06.151	17m 50s	1m 35s	99.2%	9.6 MB	14 MB	3.7 GB	110.2 MB
36	3d/6230e5	78582	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (WT70R4D4)	COMPLETED	0	2023-04-22 23:24:16.185	19m 45s	1m 48s	99.5%	9.8 MB	14.2 MB	4.4 GB	120.2 MB
44	bf/8588eb	78586	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_INDEX (genome.transcripts.fa)	COMPLETED	0	2023-04-22 23:26:31.149	17m 55s	29s	453.4%	469.2 MB	1 GB	1.3 GB	683.3 MB
60	87/ff863d	78588	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WTG0R1D3)	COMPLETED	0	2023-04-22 23:44:26.358	9.8s	7s	320.6%	763.9 MB	986.4 MB	411.5 MB	91.2 KB
51	1c/a4edd4	78587	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (3270R4D3)	COMPLETED	0	2023-04-22 23:44:26.276	14.9s	7s	352.8%	754.8 MB	981.9 MB	381.5 MB	89 KB
71	c1/88daaf	78589	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT70R3D4)	COMPLETED	0	2023-04-22 23:44:26.633	19.5s	5s	526.7%	770.4 MB	1 GB	395 MB	90.3 KB
52	9b/d070d1	78590	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT7005R3D4)	COMPLETED	0	2023-04-22 23:44:26.716	19.5s	5s	522.6%	758.1 MB	982.4 MB	412.3 MB	91.1 KB
76	e8/70fd25	78591	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT70R3D3)	COMPLETED	0	2023-04-22 23:44:26.794	24.3s	5s	569.3%	766.8 MB	998.9 MB	406.9 MB	91.4 KB
48	b9/fbd90b	78592	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32G0R1D3)	COMPLETED	0	2023-04-22 23:44:26.890	24.3s	5s	516.0%	753.5 MB	972.4 MB	404.1 MB	90.4 KB
73	9b/6f1825	78593	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32G0R3D4)	COMPLETED	0	2023-04-22 23:44:26.983	29.2s	5s	553.0%	751.5 MB	981.4 MB	410.3 MB	91.1 KB
66	c0/887596	78594	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT701R3D4)	COMPLETED	0	2023-04-22 23:44:27.288	33.9s	4s	543.2%	760.5 MB	981.4 MB	409.1 MB	90.8 KB
47	a2/5660dd	78595	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32701R4D4)	COMPLETED	0	2023-04-22 23:44:27.324	38.8s	5s	542.7%	743.7 MB	960.4 MB	394.2 MB	89.4 KB
55	c4/344b68	78596	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (3270R3D4)	COMPLETED	0	2023-04-22 23:44:27.356	38.8s	5s	525.4%	751.3 MB	986.4 MB	385.3 MB	88.8 KB
11	da/7ba631	78585	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:FQ_SUBSAMPLE (3270R1D4)	COMPLETED	0	2023-04-22 23:26:16.152	19m	2m 12s	99.5%	10.6 MB	15 MB	5.9 GB	125.2 MB
70	76/807ebb	78597	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32G0R1D4)	COMPLETED	0	2023-04-22 23:44:27.389	48.8s	6s	519.2%	734.2 MB	948.4 MB	361 MB	84.4 KB
68	87/85d2bb	78598	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32701R1D4)	COMPLETED	0	2023-04-22 23:44:27.423	58.7s	7s	388.0%	763.2 MB	988.4 MB	406.9 MB	89.9 KB
53	34/9bd68f	78599	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT7005R4D4)	COMPLETED	0	2023-04-22 23:44:27.601	1m 4s	5s	552.9%	754.3 MB	976.4 MB	397.6 MB	89.5 KB
63	84/af106a	78600	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WTG0R4D3)	COMPLETED	0	2023-04-22 23:44:27.808	1m 8s	4s	531.9%	749.3 MB	968.4 MB	408.9 MB	90.8 KB
95	67/1c1fa8	78620	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT701R3D4)	COMPLETED	0	2023-04-22 23:45:06.410	11m 25s	11m 17s	718.7%	5.6 GB	6.9 GB	112.4 GB	108.5 GB
62	d3/6528d7	78601	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT701R1D4)	COMPLETED	0	2023-04-22 23:44:28.103	12m 13s	6s	521.5%	754.8 MB	969.4 MB	400.7 MB	89.7 KB
58	ba/359191	78602	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32G0R4D3)	COMPLETED	0	2023-04-22 23:44:28.213	12m 18s	5s	513.3%	753.1 MB	973.4 MB	407.4 MB	91 KB
64	ba/cd0523	78603	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32G0R4D4)	COMPLETED	0	2023-04-22 23:44:28.400	12m 23s	5s	520.7%	755.4 MB	976.4 MB	402.6 MB	90.4 KB
59	7f/fe4e8e	78604	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32G0R3D3)	COMPLETED	0	2023-04-22 23:44:28.603	12m 28s	5s	511.3%	766.8 MB	981.4 MB	410.7 MB	91.3 KB
57	83/5856c7	78605	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT70R4D3)	COMPLETED	0	2023-04-22 23:44:28.803	12m 37s	5s	555.5%	748.7 MB	972.4 MB	380.3 MB	88.9 KB
79	a8/d4d4f3	78606	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT70R4D4)	COMPLETED	0	2023-04-22 23:44:29.012	12m 42s	6s	501.0%	767.1 MB	993.4 MB	391.4 MB	89.2 KB
67	f1/788977	78607	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (3270R1D3)	COMPLETED	0	2023-04-22 23:44:29.204	12m 47s	5s	539.1%	771.1 MB	1010.4 MB	398.4 MB	90.5 KB
74	2e/3634f7	78608	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT7005R3D3)	COMPLETED	0	2023-04-22 23:44:29.405	12m 52s	4s	533.9%	736.1 MB	955.9 MB	411.3 MB	91.1 KB
65	fa/9b13c3	78609	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (32701R3D4)	COMPLETED	0	2023-04-22 23:44:29.606	12m 57s	5s	545.2%	754.3 MB	977.4 MB	410.8 MB	90.9 KB
75	2d/dc504e	78610	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WTG0R1D4)	COMPLETED	0	2023-04-22 23:44:29.805	13m 6s	5s	509.1%	753.1 MB	972.4 MB	408.4 MB	91 KB
46	77/d8f7bb	78611	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WTG0R4D4)	COMPLETED	0	2023-04-22 23:44:36.214	13m 5s	5s	504.7%	753.8 MB	972.4 MB	407.6 MB	90.8 KB
72	8f/3660a3	78612	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT7005R1D4)	COMPLETED	0	2023-04-22 23:44:41.205	13m 5s	6s	505.5%	742.2 MB	979.9 MB	376.3 MB	88.3 KB
78	bb/01a9af	78613	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (3270R4D4)	COMPLETED	0	2023-04-22 23:44:46.234	13m 10s	5s	558.5%	763.6 MB	987.4 MB	381.4 MB	89 KB
54	a9/c69f47	78614	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT7005R1D3)	COMPLETED	0	2023-04-22 23:44:46.416	13m 15s	5s	511.7%	749.8 MB	963.4 MB	407.5 MB	90.5 KB
61	b8/22be5c	78615	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (3270R3D3)	COMPLETED	0	2023-04-22 23:44:51.278	13m 20s	6s	512.8%	761.9 MB	993.4 MB	390.7 MB	89.2 KB
89	c7/5a2a13	78618	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT70R3D3)	COMPLETED	0	2023-04-22 23:45:01.230	13m 10s	13m 3s	711.9%	5.5 GB	6.9 GB	129.3 GB	124.8 GB
49	43/83040d	78616	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT701R4D4)	COMPLETED	0	2023-04-22 23:44:51.458	13m 30s	8s	420.8%	742.4 MB	964.4 MB	385.2 MB	88 KB
94	9f/d52e68	78619	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT701R3D4)	COMPLETED	0	2023-04-22 23:45:06.205	16m 35s	3m 12s	198.5%	1.5 GB	5.1 GB	3.8 GB	4.6 MB
77	9f/6e4481	78621	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WTG0R3D3)	COMPLETED	0	2023-04-22 23:45:16.224	16m 30s	5s	479.6%	750.7 MB	967.4 MB	409.2 MB	90.3 KB
50	e6/63b153	78622	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT70R1D3)	COMPLETED	0	2023-04-22 23:45:16.306	16m 35s	5s	553.7%	772.7 MB	996.4 MB	408.3 MB	90.9 KB
81	00/fb6c31	78617	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WTG0R1D3)	COMPLETED	0	2023-04-22 23:44:56.243	17m 20s	4m 1s	196.4%	1.4 GB	4.4 GB	4.8 GB	4.5 MB
86	9e/6bb6e6	78624	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT7005R3D4)	COMPLETED	0	2023-04-22 23:45:31.203	17m 20s	17m 15s	708.7%	5.8 GB	7.1 GB	166.2 GB	160.6 GB
84	c9/bd3851	78623	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT70R3D4)	COMPLETED	0	2023-04-22 23:45:26.216	21m 15s	4m 47s	196.1%	1.5 GB	4.6 GB	5.7 GB	4.7 MB
87	c2/86ddc4	78625	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT7005R3D4)	COMPLETED	0	2023-04-22 23:45:36.205	21m 20s	4m 34s	198.3%	1.6 GB	4.7 GB	5.5 GB	4.5 MB
82	4d/d6e371	78627	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (3270R4D3)	COMPLETED	0	2023-04-22 23:56:41.211	12m 25s	2m 21s	195.3%	1.5 GB	4.8 GB	2.7 GB	4.9 MB
85	3d/80f14e	78626	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WT70R3D4)	COMPLETED	0	2023-04-22 23:56:31.224	21m 30s	15m 5s	747.8%	5.9 GB	7.2 GB	171.2 GB	165.4 GB
56	73/295f5f	78629	NFCORE_RNASEQ:RNASEQ:FASTQ_SUBSAMPLE_FQ_SALMON:SALMON_QUANT (WT70R1D4)	COMPLETED	0	2023-04-22 23:56:51.208	21m 20s	8s	320.5%	761.1 MB	1020.4 MB	403.5 MB	90.8 KB
96	6b/5d4d47	78632	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (32701R4D4)	COMPLETED	0	2023-04-22 23:57:11.201	21m 30s	9m 33s	748.0%	5.7 GB	7 GB	109.8 GB	106 GB
112	b2/34159a	78630	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (32G0R4D3)	COMPLETED	0	2023-04-22 23:56:56.209	24m 50s	3m 34s	185.8%	1.5 GB	4.8 GB	3.9 GB	4.6 MB
80	75/dca39a	78628	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (WTG0R1D3)	COMPLETED	0	2023-04-22 23:56:46.203	25m 10s	14m 57s	710.5%	5.7 GB	7 GB	143.7 GB	138.8 GB
104	24/8efdad	78631	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (32701R1D4)	COMPLETED	0	2023-04-22 23:57:06.205	26m 25s	4m 47s	197.7%	1.5 GB	4.7 GB	5.8 GB	4.6 MB
118	c8/e23315	78634	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (WT70R4D3)	COMPLETED	0	2023-04-22 23:57:21.205	27m	2m 26s	190.3%	1.5 GB	4.7 GB	2.8 GB	4.8 MB
83	dc/b35ff0	78633	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (3270R4D3)	COMPLETED	0	2023-04-22 23:57:16.214	30m 35s	6m 3s	770.2%	5.7 GB	6.9 GB	80.7 GB	77.9 GB
127	8c/b4beea	78636	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (32701R3D4)	COMPLETED	0	2023-04-22 23:57:36.208	33m 30s	3m 13s	196.5%	1.6 GB	4.7 GB	3.9 GB	4.5 MB
114	1d/6de546	78637	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (32G0R4D4)	COMPLETED	0	2023-04-22 23:57:41.207	36m 35s	9m 53s	725.8%	5.7 GB	7 GB	103.7 GB	100.1 GB
99	ad/ed592f	78638	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (3270R3D4)	COMPLETED	0	2023-04-22 23:57:46.266	36m 30s	3m 7s	195.3%	1.6 GB	4.7 GB	3.6 GB	4.9 MB
