gene_id	chromosome	start	end	width	source	type	score	phase	transcript_id
jgi|Aurli1|127270|estExt_fgenesh1_pg.C_1_t10041	scaffold_1	194484	197263	2780	prediction	transcript	NA	NA	mRNA_45
jgi|Aurli1|46|gm1.46_g	scaffold_1	197750	203135	5386	prediction	transcript	NA	NA	mRNA_46
jgi|Aurli1|68742|e_gw1.1.1984.1	scaffold_1	204958	205557	600	prediction	transcript	NA	NA	mRNA_47
jgi|Aurli1|136047|estExt_fgenesh1_kg.C_1_t10030	scaffold_1	206354	207656	1303	prediction	transcript	NA	NA	mRNA_48
jgi|Aurli1|136048|estExt_fgenesh1_kg.C_1_t10031	scaffold_1	218399	222176	3778	prediction	transcript	NA	NA	mRNA_49
jgi|Aurli1|113506|fgenesh1_pm.1_#_27	scaffold_1	223512	224153	642	prediction	transcript	NA	NA	mRNA_50
jgi|Aurli1|51|gm1.51_g	scaffold_1	225113	225946	834	prediction	transcript	NA	NA	mRNA_51
jgi|Aurli1|28391|fgenesh1_pg.1_#_48	scaffold_1	226791	227825	1035	prediction	transcript	NA	NA	mRNA_52
jgi|Aurli1|28392|fgenesh1_pg.1_#_49	scaffold_1	228268	229023	756	prediction	transcript	NA	NA	mRNA_53
jgi|Aurli1|113507|fgenesh1_pm.1_#_28	scaffold_1	229994	231481	1488	prediction	transcript	NA	NA	mRNA_54
jgi|Aurli1|136051|estExt_fgenesh1_kg.C_1_t10034	scaffold_1	232401	233277	877	prediction	transcript	NA	NA	mRNA_55
jgi|Aurli1|41615|fgenesh1_kg.1_#_35_#_isotig07034	scaffold_1	234132	235332	1201	prediction	transcript	NA	NA	mRNA_56
jgi|Aurli1|28396|fgenesh1_pg.1_#_53	scaffold_1	235452	237320	1869	prediction	transcript	NA	NA	mRNA_57
jgi|Aurli1|28397|fgenesh1_pg.1_#_54	scaffold_1	237543	240008	2466	prediction	transcript	NA	NA	mRNA_58
jgi|Aurli1|100140|estExt_Genewise1Plus.C_1_t10093	scaffold_1	240824	241631	808	prediction	transcript	NA	NA	mRNA_59
jgi|Aurli1|136053|estExt_fgenesh1_kg.C_1_t10036	scaffold_1	243049	246513	3465	prediction	transcript	NA	NA	mRNA_60
jgi|Aurli1|65345|gw1.1.1697.1	scaffold_1	248554	249237	684	prediction	transcript	NA	NA	mRNA_61
jgi|Aurli1|68537|e_gw1.1.890.1	scaffold_1	252187	253272	1086	prediction	transcript	NA	NA	mRNA_62
jgi|Aurli1|28402|fgenesh1_pg.1_#_59	scaffold_1	253606	254055	450	prediction	transcript	NA	NA	mRNA_63
jgi|Aurli1|28403|fgenesh1_pg.1_#_60	scaffold_1	254724	257157	2434	prediction	transcript	NA	NA	mRNA_64
jgi|Aurli1|65|gm1.65_g	scaffold_1	257539	258876	1338	prediction	transcript	NA	NA	mRNA_65
jgi|Aurli1|68508|e_gw1.1.31.1	scaffold_1	262437	263429	993	prediction	transcript	NA	NA	mRNA_66
jgi|Aurli1|28406|fgenesh1_pg.1_#_63	scaffold_1	265119	266444	1326	prediction	transcript	NA	NA	mRNA_67
jgi|Aurli1|127285|estExt_fgenesh1_pg.C_1_t10064	scaffold_1	270847	274374	3528	prediction	transcript	NA	NA	mRNA_68
jgi|Aurli1|136054|estExt_fgenesh1_kg.C_1_t10037	scaffold_1	274615	276893	2279	prediction	transcript	NA	NA	mRNA_69
jgi|Aurli1|68752|e_gw1.1.184.1	scaffold_1	278848	280377	1530	prediction	transcript	NA	NA	mRNA_70
jgi|Aurli1|143176|estExt_Genemark1.C_1_t10071	scaffold_1	280817	283429	2613	prediction	transcript	NA	NA	mRNA_71
jgi|Aurli1|136055|estExt_fgenesh1_kg.C_1_t10038	scaffold_1	284364	285755	1392	prediction	transcript	NA	NA	mRNA_72
jgi|Aurli1|69007|e_gw1.1.1445.1	scaffold_1	285903	287105	1203	prediction	transcript	NA	NA	mRNA_73
jgi|Aurli1|65837|gw1.1.1766.1	scaffold_1	287853	288119	267	prediction	transcript	NA	NA	mRNA_74
jgi|Aurli1|55877|gw1.1.711.1	scaffold_1	288711	289103	393	prediction	transcript	NA	NA	mRNA_75
jgi|Aurli1|143179|estExt_Genemark1.C_1_t10075	scaffold_1	289900	295650	5751	prediction	transcript	NA	NA	mRNA_76
jgi|Aurli1|28415|fgenesh1_pg.1_#_72	scaffold_1	296698	297801	1104	prediction	transcript	NA	NA	mRNA_77
jgi|Aurli1|53261|gw1.1.443.1	scaffold_1	298373	298933	561	prediction	transcript	NA	NA	mRNA_78
jgi|Aurli1|41619|fgenesh1_kg.1_#_39_#_isotig03847	scaffold_1	299761	301912	2152	prediction	transcript	NA	NA	mRNA_79
jgi|Aurli1|79|gm1.79_g	scaffold_1	302226	302693	468	prediction	transcript	NA	NA	mRNA_80
jgi|Aurli1|28419|fgenesh1_pg.1_#_76	scaffold_1	303552	304279	728	prediction	transcript	NA	NA	mRNA_81
jgi|Aurli1|113518|fgenesh1_pm.1_#_39	scaffold_1	305543	306151	609	prediction	transcript	NA	NA	mRNA_82
jgi|Aurli1|41622|fgenesh1_kg.1_#_42_#_isotig05283	scaffold_1	307567	309202	1636	prediction	transcript	NA	NA	mRNA_83
jgi|Aurli1|143186|estExt_Genemark1.C_1_t10082	scaffold_1	314942	316293	1352	prediction	transcript	NA	NA	mRNA_84
jgi|Aurli1|51744|gw1.1.294.1	scaffold_1	318293	319225	933	prediction	transcript	NA	NA	mRNA_85
jgi|Aurli1|64567|gw1.1.1614.1	scaffold_1	320629	320787	159	prediction	transcript	NA	NA	mRNA_86
jgi|Aurli1|41623|fgenesh1_kg.1_#_43_#_isotig04703	scaffold_1	324432	326249	1818	prediction	transcript	NA	NA	mRNA_87
jgi|Aurli1|143189|estExt_Genemark1.C_1_t10086	scaffold_1	326271	327614	1344	prediction	transcript	NA	NA	mRNA_88
jgi|Aurli1|28427|fgenesh1_pg.1_#_84	scaffold_1	329121	333795	4675	prediction	transcript	NA	NA	mRNA_89
jgi|Aurli1|41625|fgenesh1_kg.1_#_45_#_isotig07785	scaffold_1	334315	335384	1070	prediction	transcript	NA	NA	mRNA_90
jgi|Aurli1|59185|gw1.1.1054.1	scaffold_1	336653	337021	369	prediction	transcript	NA	NA	mRNA_91
jgi|Aurli1|92|gm1.92_g	scaffold_1	363815	389174	25360	prediction	transcript	NA	NA	mRNA_92
jgi|Aurli1|127306|estExt_fgenesh1_pg.C_1_t10090	scaffold_1	393682	396368	2687	prediction	transcript	NA	NA	mRNA_93
jgi|Aurli1|100167|estExt_Genewise1Plus.C_1_t10132	scaffold_1	396821	397754	934	prediction	transcript	NA	NA	mRNA_94
jgi|Aurli1|143195|estExt_Genemark1.C_1_t10095	scaffold_1	398207	400408	2202	prediction	transcript	NA	NA	mRNA_95
jgi|Aurli1|143196|estExt_Genemark1.C_1_t10096	scaffold_1	401301	407898	6598	prediction	transcript	NA	NA	mRNA_96
jgi|Aurli1|41630|fgenesh1_kg.1_#_50_#_isotig01021	scaffold_1	409082	412642	3561	prediction	transcript	NA	NA	mRNA_97
jgi|Aurli1|68325|e_gw1.1.710.1	scaffold_1	414294	415121	828	prediction	transcript	NA	NA	mRNA_98
jgi|Aurli1|136069|estExt_fgenesh1_kg.C_1_t10052	scaffold_1	417457	418848	1392	prediction	transcript	NA	NA	mRNA_99
jgi|Aurli1|69168|e_gw1.1.1672.1	scaffold_1	423872	424522	651	prediction	transcript	NA	NA	mRNA_100
jgi|Aurli1|100178|estExt_Genewise1Plus.C_1_t10143	scaffold_1	430397	432208	1812	prediction	transcript	NA	NA	mRNA_101
jgi|Aurli1|68774|e_gw1.1.1072.1	scaffold_1	434652	435071	420	prediction	transcript	NA	NA	mRNA_102
jgi|Aurli1|69078|e_gw1.1.250.1	scaffold_1	435698	437166	1469	prediction	transcript	NA	NA	mRNA_103
jgi|Aurli1|41637|fgenesh1_kg.1_#_57_#_isotig01465	scaffold_1	438078	439176	1099	prediction	transcript	NA	NA	mRNA_104
jgi|Aurli1|28446|fgenesh1_pg.1_#_103	scaffold_1	442684	444246	1563	prediction	transcript	NA	NA	mRNA_105
jgi|Aurli1|68741|e_gw1.1.547.1	scaffold_1	452887	456186	3300	prediction	transcript	NA	NA	mRNA_106
jgi|Aurli1|41640|fgenesh1_kg.1_#_60_#_isotig06014	scaffold_1	457512	458953	1442	prediction	transcript	NA	NA	mRNA_107
jgi|Aurli1|109|gm1.109_g	scaffold_1	459696	463061	3366	prediction	transcript	NA	NA	mRNA_108
jgi|Aurli1|28450|fgenesh1_pg.1_#_107	scaffold_1	463743	464585	843	prediction	transcript	NA	NA	mRNA_109
jgi|Aurli1|41641|fgenesh1_kg.1_#_61_#_isotig06318	scaffold_1	464612	465976	1365	prediction	transcript	NA	NA	mRNA_110
jgi|Aurli1|136079|estExt_fgenesh1_kg.C_1_t10062	scaffold_1	468172	469279	1108	prediction	transcript	NA	NA	mRNA_111
jgi|Aurli1|136080|estExt_fgenesh1_kg.C_1_t10063	scaffold_1	470317	472200	1884	prediction	transcript	NA	NA	mRNA_112
jgi|Aurli1|69542|e_gw1.1.1981.1	scaffold_1	473289	474197	909	prediction	transcript	NA	NA	mRNA_113
jgi|Aurli1|41645|fgenesh1_kg.1_#_65_#_isotig05579	scaffold_1	476224	477780	1557	prediction	transcript	NA	NA	mRNA_114
jgi|Aurli1|136083|estExt_fgenesh1_kg.C_1_t10066	scaffold_1	478019	479789	1771	prediction	transcript	NA	NA	mRNA_115
jgi|Aurli1|136084|estExt_fgenesh1_kg.C_1_t10067	scaffold_1	480295	481555	1261	prediction	transcript	NA	NA	mRNA_116
jgi|Aurli1|69053|e_gw1.1.338.1	scaffold_1	484086	486380	2295	prediction	transcript	NA	NA	mRNA_117
jgi|Aurli1|136085|estExt_fgenesh1_kg.C_1_t10068	scaffold_1	486962	491368	4407	prediction	transcript	NA	NA	mRNA_118
jgi|Aurli1|120|gm1.120_g	scaffold_1	494855	495454	600	prediction	transcript	NA	NA	mRNA_119
jgi|Aurli1|127330|estExt_fgenesh1_pg.C_1_t10118	scaffold_1	496342	497481	1140	prediction	transcript	NA	NA	mRNA_120
jgi|Aurli1|122|gm1.122_g	scaffold_1	497854	499392	1539	prediction	transcript	NA	NA	mRNA_121
jgi|Aurli1|136086|estExt_fgenesh1_kg.C_1_t10069	scaffold_1	500115	500871	757	prediction	transcript	NA	NA	mRNA_122
jgi|Aurli1|41650|fgenesh1_kg.1_#_70_#_isotig00729	scaffold_1	501335	502887	1553	prediction	transcript	NA	NA	mRNA_123
jgi|Aurli1|41653|fgenesh1_kg.1_#_73_#_isotig00728	scaffold_1	501963	503801	1839	prediction	transcript	NA	NA	mRNA_124
jgi|Aurli1|41654|fgenesh1_kg.1_#_74_#_isotig06216	scaffold_1	504411	505792	1382	prediction	transcript	NA	NA	mRNA_125
jgi|Aurli1|28466|fgenesh1_pg.1_#_123	scaffold_1	506977	508311	1335	prediction	transcript	NA	NA	mRNA_126
jgi|Aurli1|136092|estExt_fgenesh1_kg.C_1_t10075	scaffold_1	508470	510023	1554	prediction	transcript	NA	NA	mRNA_127
jgi|Aurli1|136093|estExt_fgenesh1_kg.C_1_t10076	scaffold_1	511628	514968	3341	prediction	transcript	NA	NA	mRNA_128
jgi|Aurli1|69669|e_gw1.1.824.1	scaffold_1	516064	518085	2022	prediction	transcript	NA	NA	mRNA_129
jgi|Aurli1|69532|e_gw1.1.137.1	scaffold_1	519881	520597	717	prediction	transcript	NA	NA	mRNA_130
jgi|Aurli1|131|gm1.131_g	scaffold_1	520786	521433	648	prediction	transcript	NA	NA	mRNA_131
jgi|Aurli1|66469|gw1.1.1839.1	scaffold_1	524224	524463	240	prediction	transcript	NA	NA	mRNA_132
jgi|Aurli1|69706|e_gw1.1.1137.1	scaffold_1	524813	525205	393	prediction	transcript	NA	NA	mRNA_133
jgi|Aurli1|28474|fgenesh1_pg.1_#_131	scaffold_1	527023	528789	1767	prediction	transcript	NA	NA	mRNA_134
jgi|Aurli1|41657|fgenesh1_kg.1_#_77_#_isotig05873	scaffold_1	529377	530854	1478	prediction	transcript	NA	NA	mRNA_135
jgi|Aurli1|143226|estExt_Genemark1.C_1_t10134	scaffold_1	537126	544294	7169	prediction	transcript	NA	NA	mRNA_136
jgi|Aurli1|63998|gw1.1.1549.1	scaffold_1	545174	545752	579	prediction	transcript	NA	NA	mRNA_137
jgi|Aurli1|136|gm1.136_g	scaffold_1	546574	546885	312	prediction	transcript	NA	NA	mRNA_138
jgi|Aurli1|28477|fgenesh1_pg.1_#_134	scaffold_1	547503	553127	5625	prediction	transcript	NA	NA	mRNA_139
jgi|Aurli1|28478|fgenesh1_pg.1_#_135	scaffold_1	553611	562922	9312	prediction	transcript	NA	NA	mRNA_140
jgi|Aurli1|28479|fgenesh1_pg.1_#_136	scaffold_1	563472	564176	705	prediction	transcript	NA	NA	mRNA_141
jgi|Aurli1|136096|estExt_fgenesh1_kg.C_1_t10079	scaffold_1	564469	566323	1855	prediction	transcript	NA	NA	mRNA_142
jgi|Aurli1|69489|e_gw1.1.1575.1	scaffold_1	566984	568625	1642	prediction	transcript	NA	NA	mRNA_143
jgi|Aurli1|68036|gw1.1.2019.1	scaffold_1	577296	579116	1821	prediction	transcript	NA	NA	mRNA_144
jgi|Aurli1|136098|estExt_fgenesh1_kg.C_1_t10081	scaffold_1	580421	585080	4660	prediction	transcript	NA	NA	mRNA_145
jgi|Aurli1|41662|fgenesh1_kg.1_#_82_#_isotig10930	scaffold_1	586788	587413	626	prediction	transcript	NA	NA	mRNA_146
jgi|Aurli1|143233|estExt_Genemark1.C_1_t10144	scaffold_1	590669	599371	8703	prediction	transcript	NA	NA	mRNA_147
jgi|Aurli1|28485|fgenesh1_pg.1_#_142	scaffold_1	599563	601494	1932	prediction	transcript	NA	NA	mRNA_148
jgi|Aurli1|65782|gw1.1.1759.1	scaffold_1	604984	605217	234	prediction	transcript	NA	NA	mRNA_149
jgi|Aurli1|41663|fgenesh1_kg.1_#_83_#_isotig04112	scaffold_1	607782	609833	2052	prediction	transcript	NA	NA	mRNA_150
jgi|Aurli1|148|gm1.148_g	scaffold_1	611793	613190	1398	prediction	transcript	NA	NA	mRNA_151
jgi|Aurli1|66824|gw1.1.1889.1	scaffold_1	613981	614175	195	prediction	transcript	NA	NA	mRNA_152
jgi|Aurli1|136101|estExt_fgenesh1_kg.C_1_t10084	scaffold_1	615339	616642	1304	prediction	transcript	NA	NA	mRNA_153
jgi|Aurli1|136102|estExt_fgenesh1_kg.C_1_t10085	scaffold_1	623302	624730	1429	prediction	transcript	NA	NA	mRNA_154
jgi|Aurli1|28492|fgenesh1_pg.1_#_149	scaffold_1	625362	627392	2031	prediction	transcript	NA	NA	mRNA_155
jgi|Aurli1|136103|estExt_fgenesh1_kg.C_1_t10086	scaffold_1	630444	631541	1098	prediction	transcript	NA	NA	mRNA_156
jgi|Aurli1|136104|estExt_fgenesh1_kg.C_1_t10087	scaffold_1	631802	633384	1583	prediction	transcript	NA	NA	mRNA_157
jgi|Aurli1|41668|fgenesh1_kg.1_#_88_#_isotig10174	scaffold_1	633830	634542	713	prediction	transcript	NA	NA	mRNA_158
jgi|Aurli1|136106|estExt_fgenesh1_kg.C_1_t10089	scaffold_1	634868	635673	806	prediction	transcript	NA	NA	mRNA_159
jgi|Aurli1|136107|estExt_fgenesh1_kg.C_1_t10090	scaffold_1	636089	636654	566	prediction	transcript	NA	NA	mRNA_160
jgi|Aurli1|28496|fgenesh1_pg.1_#_153	scaffold_1	638417	641131	2715	prediction	transcript	NA	NA	mRNA_161
jgi|Aurli1|136108|estExt_fgenesh1_kg.C_1_t10091	scaffold_1	641211	643361	2151	prediction	transcript	NA	NA	mRNA_162
jgi|Aurli1|68947|e_gw1.1.1029.1	scaffold_1	644547	644828	282	prediction	transcript	NA	NA	mRNA_163
jgi|Aurli1|136109|estExt_fgenesh1_kg.C_1_t10092	scaffold_1	652174	655824	3651	prediction	transcript	NA	NA	mRNA_164
jgi|Aurli1|160|gm1.160_g	scaffold_1	660989	661315	327	prediction	transcript	NA	NA	mRNA_165
jgi|Aurli1|28500|fgenesh1_pg.1_#_157	scaffold_1	663875	665404	1530	prediction	transcript	NA	NA	mRNA_166
jgi|Aurli1|28501|fgenesh1_pg.1_#_158	scaffold_1	665609	666664	1056	prediction	transcript	NA	NA	mRNA_167
jgi|Aurli1|69539|e_gw1.1.1285.1	scaffold_1	669086	669322	237	prediction	transcript	NA	NA	mRNA_168
jgi|Aurli1|49241|gw1.1.21.1	scaffold_1	673026	673259	234	prediction	transcript	NA	NA	mRNA_169
jgi|Aurli1|51222|gw1.1.243.1	scaffold_1	673629	673841	213	prediction	transcript	NA	NA	mRNA_170
jgi|Aurli1|69213|e_gw1.1.1909.1	scaffold_1	674685	674900	216	prediction	transcript	NA	NA	mRNA_171
jgi|Aurli1|69949|e_gw1.1.449.1	scaffold_1	675114	675359	246	prediction	transcript	NA	NA	mRNA_172
jgi|Aurli1|165|gm1.165_g	scaffold_1	676431	690001	13571	prediction	transcript	NA	NA	mRNA_173
jgi|Aurli1|136110|estExt_fgenesh1_kg.C_1_t10093	scaffold_1	693980	694509	530	prediction	transcript	NA	NA	mRNA_174
jgi|Aurli1|166|gm1.166_g	scaffold_1	709166	711259	2094	prediction	transcript	NA	NA	mRNA_175
jgi|Aurli1|127358|estExt_fgenesh1_pg.C_1_t10163	scaffold_1	712307	715306	3000	prediction	transcript	NA	NA	mRNA_176
jgi|Aurli1|69501|e_gw1.1.1583.1	scaffold_1	715355	716515	1161	prediction	transcript	NA	NA	mRNA_177
jgi|Aurli1|169|gm1.169_g	scaffold_1	718091	719680	1590	prediction	transcript	NA	NA	mRNA_178
jgi|Aurli1|136111|estExt_fgenesh1_kg.C_1_t10094	scaffold_1	725523	729258	3736	prediction	transcript	NA	NA	mRNA_179
jgi|Aurli1|68535|e_gw1.1.396.1	scaffold_1	730686	732263	1578	prediction	transcript	NA	NA	mRNA_180
jgi|Aurli1|28511|fgenesh1_pg.1_#_168	scaffold_1	736889	739147	2259	prediction	transcript	NA	NA	mRNA_181
jgi|Aurli1|68684|e_gw1.1.1588.1	scaffold_1	739421	740332	912	prediction	transcript	NA	NA	mRNA_182
jgi|Aurli1|136114|estExt_fgenesh1_kg.C_1_t10097	scaffold_1	741289	744384	3096	prediction	transcript	NA	NA	mRNA_183
jgi|Aurli1|113568|fgenesh1_pm.1_#_89	scaffold_1	746247	746531	285	prediction	transcript	NA	NA	mRNA_184
jgi|Aurli1|28514|fgenesh1_pg.1_#_171	scaffold_1	747566	748798	1233	prediction	transcript	NA	NA	mRNA_185
jgi|Aurli1|70003|e_gw1.1.1617.1	scaffold_1	749616	750830	1215	prediction	transcript	NA	NA	mRNA_186
jgi|Aurli1|28516|fgenesh1_pg.1_#_173	scaffold_1	750822	753233	2412	prediction	transcript	NA	NA	mRNA_187
jgi|Aurli1|41679|fgenesh1_kg.1_#_99_#_isotig08599	scaffold_1	754178	755107	930	prediction	transcript	NA	NA	mRNA_188
jgi|Aurli1|62078|gw1.1.1351.1	scaffold_1	755703	756194	492	prediction	transcript	NA	NA	mRNA_189
jgi|Aurli1|28519|fgenesh1_pg.1_#_176	scaffold_1	765839	766560	722	prediction	transcript	NA	NA	mRNA_190
jgi|Aurli1|28520|fgenesh1_pg.1_#_177	scaffold_1	766857	767279	423	prediction	transcript	NA	NA	mRNA_191
jgi|Aurli1|68457|e_gw1.1.1749.1	scaffold_1	776749	784200	7452	prediction	transcript	NA	NA	mRNA_192
jgi|Aurli1|28522|fgenesh1_pg.1_#_179	scaffold_1	785625	787178	1554	prediction	transcript	NA	NA	mRNA_193
jgi|Aurli1|136119|estExt_fgenesh1_kg.C_1_t10102	scaffold_1	787495	789694	2200	prediction	transcript	NA	NA	mRNA_194
jgi|Aurli1|136120|estExt_fgenesh1_kg.C_1_t10103	scaffold_1	791528	795412	3885	prediction	transcript	NA	NA	mRNA_195
jgi|Aurli1|136121|estExt_fgenesh1_kg.C_1_t10104	scaffold_1	799186	799725	540	prediction	transcript	NA	NA	mRNA_196
jgi|Aurli1|69238|e_gw1.1.353.1	scaffold_1	807637	808281	645	prediction	transcript	NA	NA	mRNA_197
jgi|Aurli1|68469|e_gw1.1.1168.1	scaffold_1	810649	811074	426	prediction	transcript	NA	NA	mRNA_198
jgi|Aurli1|28527|fgenesh1_pg.1_#_184	scaffold_1	814160	816058	1899	prediction	transcript	NA	NA	mRNA_199
jgi|Aurli1|28528|fgenesh1_pg.1_#_185	scaffold_1	816928	817686	759	prediction	transcript	NA	NA	mRNA_200
jgi|Aurli1|70065|e_gw1.1.1589.1	scaffold_1	829118	830182	1065	prediction	transcript	NA	NA	mRNA_201
jgi|Aurli1|190|gm1.190_g	scaffold_1	830427	833798	3372	prediction	transcript	NA	NA	mRNA_202
jgi|Aurli1|64972|gw1.1.1659.1	scaffold_1	834525	835115	591	prediction	transcript	NA	NA	mRNA_203
jgi|Aurli1|65535|gw1.1.1721.1	scaffold_1	837181	837351	171	prediction	transcript	NA	NA	mRNA_204
jgi|Aurli1|41686|fgenesh1_kg.1_#_106_#_isotig08304	scaffold_1	838502	839481	980	prediction	transcript	NA	NA	mRNA_205
jgi|Aurli1|193|gm1.193_g	scaffold_1	839529	840419	891	prediction	transcript	NA	NA	mRNA_206
jgi|Aurli1|50563|gw1.1.178.1	scaffold_1	841659	842249	591	prediction	transcript	NA	NA	mRNA_207
jgi|Aurli1|113578|fgenesh1_pm.1_#_99	scaffold_1	843080	844153	1074	prediction	transcript	NA	NA	mRNA_208
jgi|Aurli1|68974|e_gw1.1.639.1	scaffold_1	844997	847036	2040	prediction	transcript	NA	NA	mRNA_209
jgi|Aurli1|136124|estExt_fgenesh1_kg.C_1_t10107	scaffold_1	847783	849723	1941	prediction	transcript	NA	NA	mRNA_210
jgi|Aurli1|198|gm1.198_g	scaffold_1	850801	852868	2068	prediction	transcript	NA	NA	mRNA_211
